Adelaide,0,245,160,195,90,420,130,125,235,60,305,235,360,165,130,280,360,115,335,140,160,195,160,30,115,235,255,195,60,95,15,335,315,325,160,21,115,60,220,140,185,125,125,165,120,210,45,265,95,92,23,125,165,90,175,245,305,420,165,70,325,175
Albany,,0,335,270,335,570,330,300,410,235,245,35,510,340,200,185,405,130,270,385,335,55,140,160,360,95,200,440,305,270,95,375,455,315,405,130,360,305,105,385,360,300,220,370,290,45,200,200,220,335,405,335,410,300,350,325,455,560,340,175,305,420
Albury,,,0,280,95,395,45,95,140,95,395,325,305,45,220,370,420,200,420,95,55,280,245,385,90,325,340,150,115,60,235,295,340,410,115,300,70,115,305,95,80,160,210,70,25,300,130,350,185,125,175,55,125,90,79,325,255,385,10,160,410,130
Alice Springs,,,,0,280,325,280,245,340,185,160,265,270,290,185,220,165,160,140,335,280,220,200,280,305,255,95,385,255,220,175,140,210,130,350,195,305,255,235,335,305,220,70,315,240,235,150,200,175,280,300,280,360,245,300,55,235,315,290,125,130,370
Ballarat,,,,,0,480,50,165,230,105,395,325,395,105,220,370,430,200,420,55,140,280,245,385,25,325,340,105,25,80,235,405,375,410,70,300,25,60,305,55,160,165,210,80,100,300,130,350,185,25,265,55,80,45,130,335,340,475,90,160,410,90
Bamaga,,,,,,0,425,325,300,385,420,560,90,405,465,480,315,440,405,490,350,515,480,545,480,560,420,525,465,405,475,290,115,350,510,515,465,465,545,455,350,325,385,430,350,535,385,465,440,490,220,445,515,440,375,280,140,45,405,405,370,525
Benalla,,,,,,,0,135,180,100,390,325,340,85,220,365,415,50,95,280,245,385,45,325,340,100,70,75,240,390,365,410,70,300,25,70,25,70,305,50,120,160,215,75,70,300,135,350,185,75,215,10,75,45,110,325,290,415,35,160,410,85
Bourke,,,,,,,,0,115,60,360,290,235,105,185,335,335,165,385,195,45,245,210,350,185,290,305,230,150,95,200,305,270,370,210,265,165,150,270,160,90,70,175,130,60,265,95,315,150,175,105,150,220,125,80,235,185,315,105,125,375,230
Brisbane,,,,,,,,,0,175,475,105,210,130,300,445,385,280,475,235,105,360,325,465,230,405,420,255,210,150,315,360,245,420,255,375,210,210,385,185,80,185,390,160,100,375,210,430,265,235,80,195,265,185,105,290,160,290,150,235,440,270
Broken Hill,,,,,,,,,,0,300,230,300,105,125,270,325,105,325,150,95,185,150,290,130,230,245,200,90,35,140,300,270,315,165,200,125,90,210,150,125,60,115,130,60,200,35,255,90,115,165,95,175,60,115,230,245,375,105,60,315,185
