Albany,0,100,35,210,110,20,30,235,180,95,75,100,80,70,50,60,170,185,120,55,220,145,170,185,75,110,125,85,280,135,305,85,125,150,90,125,135,105,150,15,60,310,155,130,25,275,55,235,30,300,185,170,255,50,270,235,195,315,310,315,160,265,100,120,135,185,35
Atlanta,100,0,70,190,15,110,95,215,255,30,25,15,75,50,75,60,80,155,95,75,145,135,80,85,60,35,90,20,230,55,230,45,40,70,80,115,35,30,50,85,55,270,90,100,75,190,80,210,120,280,150,160,260,60,270,205,105,225,270,280,65,280,60,115,55,130,85
Baltimore,35,70,0,210,80,40,40,230,180,55,40,65,80,60,45,50,145,180,115,60,210,145,145,150,70,80,120,55,275,110,290,70,95,115,80,120,105,75,115,20,25,305,145,130,10,270,35,235,55,305,180,170,285,15,300,230,170,285,305,295,125,265,90,120,100,185,50
Billings,210,190,210,0,180,230,180,25,35,225,210,180,130,155,160,160,150,65,105,155,140,65,150,175,145,225,105,185,110,155,145,160,155,260,120,90,190,165,190,220,220,140,140,90,210,190,175,50,240,95,75,50,120,215,135,65,175,155,140,90,160,60,130,90,240,110,205
Birmingham,110,15,80,180,0,120,90,200,140,50,40,15,65,50,75,60,65,135,80,75,130,130,65,70,50,45,75,25,235,40,210,40,25,80,75,105,30,20,35,100,70,255,75,90,90,175,80,205,135,265,135,145,230,75,240,190,95,210,255,270,45,240,50,105,60,115,75
Boston,20,110,40,230,120,0,50,255,200,95,85,115,100,95,70,80,185,205,140,75,240,165,195,195,95,120,145,95,300,150,325,105,140,160,110,140,145,120,155,25,70,330,175,150,30,295,65,255,10,320,210,205,305,55,320,255,210,325,330,315,165,285,120,140,140,210,45
Buffalo,30,95,40,180,90,50,0,205,150,95,80,80,50,45,20,30,140,155,90,25,190,115,140,155,45,120,95,75,250,105,275,55,95,155,60,90,120,75,130,40,65,280,125,100,40,245,25,205,60,270,155,140,255,55,270,205,165,270,280,265,140,235,70,90,140,165,45
Butte,235,215,230,25,200,255,205,0,55,260,175,140,150,180,185,185,175,90,140,180,160,90,175,200,170,245,130,210,90,180,120,180,175,285,145,110,210,185,215,240,250,120,165,115,235,165,200,25,265,70,100,75,95,235,110,45,195,130,120,65,185,35,155,110,265,135,225
Casper,180,255,180,35,140,200,150,55,0,190,175,140,100,125,135,130,115,35,65,125,95,75,115,140,115,185,70,145,120,115,150,120,120,220,100,80,155,125,155,190,190,150,105,50,180,140,145,75,215,130,45,30,125,185,140,75,140,165,150,125,125,90,100,80,150,80,175
Charleston,95,30,55,225,50,95,95,260,190,0,25,45,100,70,95,85,115,185,130,100,190,165,115,115,80,25,120,40,265,85,260,70,75,60,110,140,60,60,75,75,45,305,120,135,80,225,80,240,110,310,185,190,295,40,310,235,135,260,305,315,95,280,90,140,45,160,50
Charlotte,75,25,40,210,40,85,80,175,175,25,0,40,85,55,65,60,110,180,115,80,175,150,110,110,65,40,110,25,260,85,255,55,70,75,95,125,60,50,75,60,40,300,115,125,50,240,60,230,95,305,180,180,275,35,290,225,135,255,300,300,90,270,80,125,60,155,40
Chattanooga,100,15,65,180,15,115,80,140,140,45,40,0,60,35,60,45,90,140,80,60,155,125,90,85,45,50,75,10,240,55,235,30,40,85,70,100,50,15,65,85,65,270,90,90,75,190,70,215,120,265,140,145,245,60,260,205,105,235,270,270,70,185,45,100,20,130,60
Chicago,80,75,80,130,65,100,50,150,100,100,85,60,0,30,35,35,95,105,35,25,140,65,95,120,20,110,45,55,195,65,225,30,55,145,10,40,85,45,90,90,95,225,80,50,80,195,45,150,115,220,105,90,200,85,320,150,120,220,225,215,85,185,30,40,125,110,75
Cincinnati,70,50,60,155,50,95,45,180,125,70,55,35,30,0,25,10,95,125,65,25,155,90,95,125,10,85,60,30,225,65,235,10,50,120,35,70,75,30,85,75,70,255,90,75,65,210,30,180,105,245,125,120,230,60,245,180,125,235,255,240,85,210,35,70,100,125,55
Cleveland,50,75,45,160,75,70,20,185,135,95,65,60,35,25,0,15,125,135,70,15,175,100,125,135,30,110,80,55,230,90,255,35,70,145,40,75,100,55,110,55,65,260,105,85,50,225,15,190,80,255,135,125,235,55,250,185,145,250,260,250,110,215,50,75,125,145,45
Columbus,60,60,50,160,60,80,30,185,130,85,60,45,35,10,15,0,110,130,70,20,170,95,110,130,15,95,65,40,225,65,240,25,60,130,40,75,80,40,95,65,70,265,100,80,55,215,20,185,95,255,130,135,235,55,250,180,135,240,265,250,115,215,40,75,115,140,50
Dallas,170,80,145,150,65,185,140,175,115,115,110,90,95,95,125,110,0,85,75,120,65,125,50,25,95,110,50,90,160,35,145,85,90,145,105,100,60,70,50,160,140,195,25,70,155,110,130,150,195,225,75,125,190,140,195,135,25,145,195,240,20,210,70,100,125,50,140
Denver,185,155,180,65,135,205,155,90,35,185,180,140,105,125,135,130,85,0,70,130,75,115,85,110,115,180,65,145,100,110,135,120,110,220,105,90,150,125,135,195,190,135,75,55,185,105,150,60,215,135,10,55,115,185,130,55,110,145,135,155,100,125,90,90,200,45,180
Des Moines,120,95,115,105,80,140,90,140,65,130,115,80,35,65,70,70,75,70,0,65,115,50,75,100,55,130,20,90,160,70,195,60,65,165,35,25,100,65,105,125,130,190,55,15,115,170,85,120,150,190,70,70,170,120,180,115,100,205,190,195,80,165,35,25,145,90,110
Detroit,55,75,60,155,75,75,25,180,125,100,80,60,25,25,15,20,120,130,65,0,165,90,120,135,30,110,70,50,225,90,250,35,75,145,35,65,100,55,110,65,80,255,105,75,65,220,30,180,85,250,130,130,230,70,245,180,140,245,255,240,105,210,50,65,125,140,60
El Paso,220,145,210,140,130,240,190,160,95,190,175,155,140,155,175,170,65,75,115,165,0,165,65,85,150,175,95,155,130,100,80,150,115,215,145,140,130,135,115,230,210,130,70,115,220,45,185,135,255,200,60,130,105,205,120,125,60,80,130,220,85,200,120,140,195,35,295
Fargo,145,135,145,65,130,165,115,90,75,165,150,125,65,90,100,95,125,115,50,90,165,0,125,150,80,170,70,120,175,120,210,95,110,210,55,25,145,110,150,155,160,205,105,60,145,220,110,135,175,160,125,45,150,150,200,130,150,220,205,150,130,120,80,25,190,140,140
Fort Worth,170,80,145,150,65,195,140,175,115,115,110,90,95,95,125,110,50,85,75,120,65,125,0,25,95,110,50,90,160,40,145,85,90,145,105,100,60,70,50,165,140,195,25,70,155,110,130,150,205,225,75,125,190,140,195,135,25,145,195,240,20,210,70,100,125,50,140
Houston,185,85,150,175,70,195,155,200,140,115,110,85,120,125,135,130,25,110,100,135,85,150,25,0,110,95,80,95,170,45,165,100,60,135,110,120,50,85,35,170,145,210,50,90,160,130,145,170,205,250,100,150,220,145,210,160,20,160,210,260,25,230,90,120,115,80,150
Indianapolis,75,60,70,145,50,95,45,170,115,80,65,45,20,10,30,15,95,115,55,30,150,80,95,110,0,95,50,40,215,50,225,10,50,130,25,60,80,30,85,80,80,245,75,65,70,200,35,170,105,245,115,110,220,70,235,170,115,225,245,230,90,200,25,60,110,115,65
Jacksonville,110,35,80,225,45,120,120,245,185,25,40,50,110,85,110,95,110,180,130,110,175,170,110,95,95,0,115,55,260,80,260,80,70,30,115,150,40,65,60,100,60,300,120,135,90,220,105,235,130,315,180,190,275,65,290,235,120,255,300,315,90,280,90,150,20,160,60
Kansas City,125,90,120,105,75,145,95,130,70,120,110,75,45,60,80,65,50,65,20,70,95,70,50,80,50,115,0,80,165,50,175,55,50,155,55,50,85,60,85,135,130,195,35,20,120,150,90,125,160,195,60,75,175,120,190,120,80,175,195,195,55,165,30,50,135,65,115
Knoxville,85,20,55,185,25,95,75,210,145,40,25,10,55,30,55,40,90,145,90,50,155,120,90,95,40,55,80,0,245,55,235,30,40,90,65,95,55,20,60,75,55,270,90,95,65,215,60,205,105,275,145,150,250,50,265,200,115,235,270,270,80,240,55,95,70,130,50
Las Vegas,280,230,275,110,235,300,250,90,120,265,260,240,195,225,230,225,160,100,160,225,130,175,160,170,215,260,165,245,0,190,30,215,210,300,195,180,215,220,200,280,290,65,155,150,280,75,245,60,260,135,110,140,80,280,65,45,145,45,65,150,170,170,190,180,285,95,275
Little Rock,135,55,110,155,40,150,105,180,115,85,85,55,65,65,90,65,35,110,70,90,100,120,40,45,50,80,50,55,190,0,185,50,15,115,75,95,50,35,45,130,110,215,35,70,120,160,95,160,180,245,100,125,215,105,215,160,60,180,215,265,20,230,35,95,95,75,105
Los Angeles,305,230,290,145,210,325,275,120,150,260,255,235,225,235,255,240,145,135,195,250,80,210,145,165,225,260,175,235,30,185,0,230,195,295,225,215,210,220,195,310,295,45,150,180,300,45,265,90,335,120,135,175,60,285,50,80,145,15,45,135,165,155,205,215,275,115,290
Louisville,85,45,70,160,40,105,55,180,120,70,55,30,30,10,35,25,85,120,60,35,150,95,85,100,10,80,55,30,215,50,230,0,40,120,40,70,55,20,75,85,80,245,85,70,80,225,45,175,115,245,120,125,225,70,240,170,115,225,245,250,80,220,25,70,100,120,65
Memphis,125,40,95,155,25,140,95,175,120,75,70,40,55,50,70,60,90,110,65,75,115,110,90,60,50,70,50,40,210,15,195,40,0,105,60,90,35,25,40,115,95,230,50,65,105,175,80,170,150,250,110,125,205,90,220,165,75,190,230,245,40,215,30,90,85,85,95
Miami,150,70,115,260,80,160,155,285,220,60,75,85,145,120,145,130,145,220,165,145,215,210,145,135,130,30,155,90,300,115,295,120,105,0,155,185,85,100,100,135,95,335,155,170,125,260,140,275,170,350,215,225,330,100,335,270,155,290,335,350,125,320,130,185,20,195,110
Milwaukee,90,80,80,120,75,110,60,145,100,110,95,70,10,35,40,40,105,105,35,35,145,55,105,110,25,115,55,65,195,75,225,40,60,155,0,35,90,55,100,100,105,225,85,50,90,195,55,155,120,215,115,90,205,95,220,150,130,230,225,210,85,180,35,35,135,110,65
Minneapolis,125,115,120,90,105,140,90,110,80,140,125,100,40,70,75,75,100,90,25,65,140,25,100,120,60,150,50,95,180,95,215,70,90,185,35,0,125,85,125,130,135,210,80,35,120,195,85,135,155,180,95,50,190,125,205,135,125,225,210,175,60,145,55,0,165,115,115
Mobile,135,35,105,190,30,145,120,210,155,60,60,50,85,75,100,80,60,150,100,100,130,145,60,50,80,40,85,55,215,50,210,55,35,85,90,125,0,50,15,120,95,260,80,105,110,175,105,225,145,285,140,160,250,95,260,195,70,210,260,280,45,250,65,125,65,115,100
Nashville,105,30,75,165,20,120,75,185,125,60,50,15,45,30,55,40,70,125,65,55,135,110,70,85,30,65,60,20,220,35,220,20,25,100,55,85,50,0,55,95,80,255,75,75,85,195,60,190,130,250,125,130,230,70,245,190,100,215,255,255,65,225,30,85,80,110,70
New Orleans,150,50,115,190,35,155,130,215,155,75,75,65,90,85,110,95,50,135,105,110,115,150,50,35,85,60,85,60,200,45,195,75,40,100,100,125,15,55,0,135,100,245,75,105,125,160,115,185,165,275,135,155,220,105,235,185,55,195,245,290,30,260,70,125,80,100,110
New York,15,85,20,220,100,25,40,240,190,75,60,85,90,75,55,65,160,195,125,65,230,155,165,170,80,100,135,75,280,130,310,85,115,135,100,130,120,95,135,0,45,315,160,140,10,280,45,245,35,310,195,180,295,35,310,240,190,305,315,305,155,275,105,130,120,200,20
Norfolk,60,55,25,220,70,70,65,250,190,45,40,65,95,70,65,70,140,190,130,80,210,160,140,145,80,60,130,55,290,110,295,80,95,95,105,135,95,80,100,45,0,320,150,140,35,265,50,245,80,320,190,195,285,10,310,245,160,280,320,310,120,280,100,135,60,185,25
Oakland,310,270,305,140,255,330,280,120,150,305,300,270,225,255,260,265,195,135,190,255,130,205,195,210,245,300,195,270,65,215,45,245,230,335,225,210,260,255,245,315,320,0,180,175,310,90,275,90,340,70,140,175,25,310,10,80,190,60,0,90,215,110,220,210,315,145,305
Oklahoma City,155,90,145,140,75,175,125,165,105,120,115,90,80,90,105,100,25,75,55,105,70,105,25,50,75,120,35,90,155,35,150,85,50,155,85,80,80,75,75,160,150,180,0,55,150,125,115,125,185,215,70,90,160,140,175,125,50,145,180,230,105,200,55,80,135,40,140
Omaha,130,100,130,90,90,150,100,115,50,135,125,90,50,75,85,80,70,55,15,75,115,60,70,90,65,135,20,95,150,70,180,70,65,170,50,35,105,75,105,140,140,175,55,0,130,160,95,105,160,175,55,55,155,135,170,105,100,190,175,180,75,150,40,35,150,85,125
